doi	journal	type	n_authors	published	review_available	country	edomain	citations	oa_retracted	time_between	retracted	time_to_retraction
10.1371/journal.pone.0256910	PLOS ONE	Research Article	1.21889983826974	0.0185834320498188	TRUE	c("Switzerland", "Ghana", "Switzerland", "Ghana", "Ghana", "Ghana", "Vietnam", "Ethiopia", "Switzerland")	gmail	2	FALSE	1.06226702636625	FALSE	1455
10.1371/journal.pone.0256948	PLOS ONE	Research Article	-1.74609626571953	0.025691189750593	FALSE	Ethiopia	gmail	11	FALSE	2.53072043216834	FALSE	1460
10.1371/journal.pone.0256951	PLOS ONE	Research Article	1.21889983826974	-0.0754636616246643	FALSE	c("Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia")	gmail	25	FALSE	1.00430176034775	FALSE	1383
10.1371/journal.pone.0257045	PLOS ONE	Research Article	0.399556858047878	0.0185834320498188	TRUE	c("China", "Ethiopia", "Ethiopia")	edu	10	FALSE	0.00923136036344388	FALSE	1455
10.1371/journal.pone.0257058	PLOS ONE	Research Article	2.23821917341967	-0.0197686148058958	FALSE	c("Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia")	gmail	27	FALSE	-0.560760422151839	FALSE	1427
10.1371/journal.pone.0257059	PLOS ONE	Research Article	-0.345312706375261	0.0242631248013194	FALSE	c("Ethiopia", "Ethiopia", "Ethiopia", "United States of America")	gmail	5	FALSE	-0.551099544482088	FALSE	1459
10.1371/journal.pone.0257109	PLOS ONE	Research Article	-0.953496158963877	0.0242631248013194	TRUE	Ethiopia	gmail	90	FALSE	-0.531777789142587	FALSE	1459
10.1371/journal.pone.0257112	PLOS ONE	Research Article	-0.345312706375261	0.0185834320498188	TRUE	c("Ethiopia", "Ethiopia", "Ethiopia")	gmail	20	FALSE	-1.24668273670413	FALSE	1455
10.1371/journal.pone.0257129	PLOS ONE	Research Article	-0.345312706375261	0.0143575470168129	TRUE	c("Ethiopia", "Ethiopia", "Ethiopia")	gmail	54	FALSE	1.31344984577977	FALSE	1452
10.1371/journal.pone.0257139	PLOS ONE	Research Article	-0.634083669787924	0.00599163014560248	TRUE	Ethiopia	gmail	17	FALSE	0.231431546767707	FALSE	1446
