uri,primary_name_display,replaced
http://dx.doi.org/10.13039/501100007774,"Academia Mexicana de Ciencias",
http://dx.doi.org/10.13039/100017206,"Academia Militar",
http://dx.doi.org/10.13039/501100019895,"Academia Oamenilor de Știință din România",
http://dx.doi.org/10.13039/501100015049,"Academia Portuguesa da História",
http://dx.doi.org/10.13039/501100006476,"Academia Româna",
http://dx.doi.org/10.13039/501100001869,"Academia Sinica",
http://dx.doi.org/10.13039/100012334,"Academic Association for Contemporary European Studies",
http://dx.doi.org/10.13039/501100005013,"Academic Center for Education, Culture and Research",
http://dx.doi.org/10.13039/501100021676,"Academic Computer Centre Cyfronet, AGH University of Science and Technology",
http://dx.doi.org/10.13039/501100012240,"Academic Excellence Foundation of BUAA for PHD Students",
http://dx.doi.org/10.13039/501100017665,"Academic Fund for Outstanding Talents in Universities",
http://dx.doi.org/10.13039/100011123,"Academic Health Center, University of Minnesota",
http://dx.doi.org/10.13039/100022406,"Academic Law Libraries Special Interest Section",
http://dx.doi.org/10.13039/501100009970,"Academic Leader of Beijing Polytechnic",
http://dx.doi.org/10.13039/100010564,"Academic Medical Organization of Southwestern Ontario",
http://dx.doi.org/10.13039/100017930,"Academic Pediatric Association",
http://dx.doi.org/10.13039/100023613,"Academic Research Institute in Iraq",
http://dx.doi.org/10.13039/100009035,"Academic Senate, University of California, Riverside",
http://dx.doi.org/10.13039/501100012444,"Academic Society for Research in Otolaryngology, Kansai Medical University",
http://dx.doi.org/10.13039/501100005870,"Academic Swiss Caucasus Net",
http://dx.doi.org/10.13039/501100021152,"Académie canadienne du génie",
http://dx.doi.org/10.13039/501100014263,"Académie d'agriculture de France",
http://dx.doi.org/10.13039/100008754,"Académie de Médecine Vétérinaire du Québec",
http://dx.doi.org/10.13039/501100011880,"Académie de recherche et d'enseignement supérieur",
http://dx.doi.org/10.13039/100015906,"Académie des Beaux-Arts",
http://dx.doi.org/10.13039/100015905,"Académie des Inscriptions et Belles-Lettres",
http://dx.doi.org/10.13039/100015118,"Académie des Sciences, Institut de France",
http://dx.doi.org/10.13039/501100014614,"Académie française",
http://dx.doi.org/10.13039/501100003476,"Académie Hassan II des Sciences et Techniques",
http://dx.doi.org/10.13039/501100010209,"Académie Hassan II des Sciences et Techniques",R
http://dx.doi.org/10.13039/501100014341,"Académie internationale de droit comparé",
http://dx.doi.org/10.13039/501100008335,"Académie Nationale de Médecine",
http://dx.doi.org/10.13039/501100019806,"Académie Royale de Médecine de Belgique",
http://dx.doi.org/10.13039/501100008135,"Académie Universitaire ‘Louvain",
http://dx.doi.org/10.13039/501100011069,"Academie Verloskunde Amsterdam Groningen",
http://dx.doi.org/10.13039/501100003180,"Academisch Medisch Centrum",
http://dx.doi.org/10.13039/100013579,"Academy for Eating Disorders",
http://dx.doi.org/10.13039/501100016311,"Academy for Engineering and Technology, Fudan University",
http://dx.doi.org/10.13039/100005320,"AcademyHealth",
http://dx.doi.org/10.13039/100026840,"Academy of American Franciscan History",
http://dx.doi.org/10.13039/100005275,"Academy of American Poets",
http://dx.doi.org/10.13039/100015697,"Academy of Applied Science",
http://dx.doi.org/10.13039/100008532,"Academy of Architecture for Health",
http://dx.doi.org/10.13039/100008437,"Academy of Architecture for Health Foundation",
http://dx.doi.org/10.13039/100015243,"Academy of Certified Archivists",
http://dx.doi.org/10.13039/100021361,"Academy of Consultation-Liaison Psychiatry",
http://dx.doi.org/10.13039/100011914,"Academy of General Dentistry",
http://dx.doi.org/10.13039/100010182,"Academy of Health Sciences",
http://dx.doi.org/10.13039/100019514,"Academy of International Business",
http://dx.doi.org/10.13039/501100019898,"Academy of Korean Studies",
http://dx.doi.org/10.13039/100011916,"Academy of Leisure Sciences",
http://dx.doi.org/10.13039/100011405,"Academy of Marketing",
http://dx.doi.org/10.13039/501100001265,"Academy of Medical Royal Colleges",
http://dx.doi.org/10.13039/501100000691,"Academy of Medical Sciences",
http://dx.doi.org/10.13039/100011533,"Academy of Medical-Surgical Nurses",
http://dx.doi.org/10.13039/501100011345,"Academy of Military Medical Sciences",
http://dx.doi.org/10.13039/100005318,"Academy of Motion Picture Arts and Sciences",
http://dx.doi.org/10.13039/100005319,"Academy of Natural Sciences of Drexel University",
http://dx.doi.org/10.13039/100011554,"Academy of Neonatal Nursing",
http://dx.doi.org/10.13039/100011917,"Academy of Neurologic Communication Disorders and Sciences",
http://dx.doi.org/10.13039/100013828,"Academy of Neuroscience for Architecture",
http://dx.doi.org/10.13039/100019216,"Academy of Nutrition and Dietetics",
http://dx.doi.org/10.13039/100006110,"Academy of Nutrition and Dietetics Foundation",
http://dx.doi.org/10.13039/100008528,"Academy of Osseointegration",
http://dx.doi.org/10.13039/100011777,"Academy of Pharmaceutical Sciences",
http://dx.doi.org/10.13039/501100001330,"Academy of Science of South Africa",
http://dx.doi.org/10.13039/100011585,"Academy of Science of St. Louis",
http://dx.doi.org/10.13039/501100002673,"Academy of Sciences Republic of Uzbekistan",
http://dx.doi.org/10.13039/501100013225,"Academy of Scientific and Innovative Research",
http://dx.doi.org/10.13039/501100002349,"Academy of Scientific Research and Technology",
http://dx.doi.org/10.13039/100026285,"Academy of Spinal Cord Injury Professionals",
http://dx.doi.org/10.13039/501100001050,"Academy of the Social Sciences in Australia",
http://dx.doi.org/10.13039/100012234,"Academy of Veterinary Dentistry",
http://dx.doi.org/10.13039/100027716,"Academy Spinal Cord Injury Nurses",
http://dx.doi.org/10.13039/100022345,"Acadiana Center for the Arts",
http://dx.doi.org/10.13039/100014387,"ACADIA Pharmaceuticals",
http://dx.doi.org/10.13039/100009427,"Acadia University",
http://dx.doi.org/10.13039/100026251,"ACBL Educational Foundation",
http://dx.doi.org/10.13039/501100008027,"Accademia Nazionale dei Lincei",
http://dx.doi.org/10.13039/501100003291,"Accare",
http://dx.doi.org/10.13039/100004442,"ACCCA",
http://dx.doi.org/10.13039/100001438,"Accelerate Brain Cancer Cure",
http://dx.doi.org/10.13039/100016345,"Accelerated Bridge Construction University Transportation Center",
http://dx.doi.org/10.13039/501100009025,"Accelerated Innovation Research Initiative Turning Top Science and Ideas into High-Impact Values",
http://dx.doi.org/10.13039/501100025017,"Accelerating Social Implementation for SDGs Achievement",
http://dx.doi.org/10.13039/100023440,"Accelerator Centre",
http://dx.doi.org/10.13039/100014926,"Acceleron",
http://dx.doi.org/10.13039/100004672,"Accenture",
http://dx.doi.org/10.13039/100006486,"Acceptys",
